id,postcode,latitude,longitude
177947,TN6 2DF,51.052458374723000,0.179338047503561
177948,TN6 2DG,51.054697927691700,0.179329045729486
177949,TN6 2DH,51.054220120598900,0.181318619236657
177950,TN6 2DJ,51.053322683933400,0.180734210865612
177951,TN6 2DL,51.050652603060100,0.184532602634766
177952,TN6 2DN,51.052327807816300,0.183441384411671
177953,TN6 2DP,51.054146703980600,0.182842010124269
177954,TN6 2DQ,51.049438588166800,0.185488508361947
177955,TN6 2DR,51.052697290008300,0.181475360006479
177956,TN6 2DS,51.051697356428400,0.182527063882690
177957,TN6 2DT,51.050913011345400,0.182147740834300
177958,TN6 2DU,51.050522230097000,0.183327918970547
177959,TN6 2DW,51.053405088520000,0.183063980880395
177960,TN6 2DX,51.053012786899200,0.181918263522047
177961,TN6 2DY,51.059403000000000,0.178380000000000
177962,TN6 2DZ,51.065846494231500,0.177097973214120
177963,TN6 2EA,51.050486000000000,0.181471000000000
177964,TN6 2ED,51.049195628592900,0.185976451254280
177966,TN6 2EG,51.047701713361200,0.188431468029113
177967,TN6 2EH,51.048971266202000,0.187392682512790
177968,TN6 2EJ,51.049794000000000,0.186276000000000
177970,TN6 2EN,51.049318679023900,0.188051115494239
177971,TN6 2EP,51.050301753454800,0.192221013626057
177973,TN6 2ER,51.049644282518600,0.189393402500930
177974,TN6 2ES,51.049849907873100,0.191857237619272
177975,TN6 2ET,51.050499783478400,0.189333872479097
177976,TN6 2EU,51.049566956261000,0.190160235690027
177977,TN6 2EW,51.049009164106800,0.188250546716742
177978,TN6 2EX,51.048855610868100,0.192124186284092
177979,TN6 2EY,51.048885413091100,0.187174618191330
177980,TN6 2FE,51.061229096749000,0.170530420318005
177981,TN6 2GB,51.045274018003800,0.183485000000000
177982,TN6 2GD,51.045624990467800,0.183299000000000
177983,TN6 2GE,51.046774000000000,0.188573000000000
177984,TN6 2GF,51.046682071369600,0.187170687466150
177985,TN6 2GT,51.055056000000000,0.180944000000000
177986,TN6 2HA,51.049623396472000,0.191946419807864
177987,TN6 3GR,51.073415071933800,0.191239000000000
177989,TN6 3HA,51.043327672067600,0.186199501647104
177990,TN6 3HD,51.069494973375900,0.186404728040541
177991,TN6 3HE,51.078467000000000,0.191953000000000
177992,TN6 3HF,51.060187289994400,0.183968157227333
177993,TN6 3HG,51.056865513866700,0.187022673746872
177994,TN6 3HH,51.046371436497700,0.201794177108737
177995,TN6 3HJ,51.046520961931400,0.220624000000000
177996,TN6 3HL,51.046771784950000,0.221031262765648
177997,TN6 3HN,51.047045725685900,0.221286914756354
177998,TN6 3HP,51.048977832239900,0.224675280559003
177999,TN6 3HQ,51.050302094135300,0.227863535844771
178000,TN6 3HR,51.050405339633600,0.229994495575271
178001,TN6 3HS,51.049911975218000,0.231811410461978
178002,TN6 3HT,51.047302316031200,0.222454860754064
178003,TN6 3HU,51.050090300697900,0.229537041105798
178004,TN6 3HW,51.046167505019000,0.220174858588766
178005,TN6 3HX,51.050527842641400,0.228759018906507
178006,TN6 3HY,51.050576848114300,0.228547343747158
178007,TN6 3HZ,51.047084546982000,0.196877207128558
178008,TN6 3JA,51.048950236680300,0.234604514542317
178009,TN6 3JB,51.048428803131800,0.235064523024895
178010,TN6 3JD,51.048071269684400,0.235889108586842
178011,TN6 3JE,51.041378622768500,0.232670890599814
178012,TN6 3JF,51.038384032216100,0.229830870432950
178013,TN6 3JG,51.035574000000000,0.218313000000000
178014,TN6 3JH,51.036405676508000,0.212790053694894
178015,TN6 3JJ,51.035516000000000,0.214721165320215
178016,TN6 3JL,51.037381805389600,0.214434181225652
178017,TN6 3JN,51.040231208261200,0.215939529671648
178018,TN6 3JP,51.044787048774500,0.220583000000000
178019,TN6 3JQ,51.051556018699200,0.231904725860367
178020,TN6 3JR,51.045682096818900,0.224417485451028
178021,TN6 3JS,51.044936174144600,0.222498531110400
178022,TN6 3JT,51.047799867947300,0.230325904168398
178023,TN6 3JU,51.053826070385700,0.218015473768631
178024,TN6 3JW,51.037776493081800,0.215437256680333
178025,TN6 2HB,51.049144219099400,0.192080742555581
178026,TN6 2HD,51.046478689474700,0.186504815217557
178028,TN6 2HG,51.052360000000000,0.173050007241660
178029,TN6 2HH,51.052547621238100,0.174547839647120
178030,TN6 2HJ,51.051189643358600,0.178196000000000
178031,TN6 2HL,51.049989951949700,0.181490814554478
178032,TN6 2HN,51.047594442005100,0.183589716591608
178033,TN6 2HP,51.048523810484600,0.184389624453032
178034,TN6 2HR,51.047754702112500,0.184638787841753
178035,TN6 2HS,51.048296081744900,0.185506061386251
178036,TN6 2HT,51.047270733957700,0.185029769498291
178037,TN6 2HU,51.047046116883900,0.186460202046549
178038,TN6 2HW,51.049274541837500,0.173067590853310
178039,TN6 2HX,51.047211941286000,0.185768908132242
178040,TN6 2HZ,51.061746076783800,0.162048579293332
178041,TN6 2JA,51.048808261863000,0.185530173621708
178042,TN6 2JB,51.047917085963800,0.185573825419499
178043,TN6 2JD,51.045737391202600,0.184786402407516
178044,TN6 2JE,51.048034895161000,0.187448436758923
178045,TN6 2JF,51.058758163173900,0.179105856581718
178046,TN6 2JG,51.047299943532000,0.187313935604764
178047,TN6 2JH,51.047247450484200,0.186755032606771
178048,TN6 2JJ,51.044411000000000,0.183183000000000
